"","NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"37","Andrew Montanez",185,"middleweight",NA,0,0,0,0,0,0,0,0
"38","Augusto Montano",170,"welterweight",73,3.46,2.66,0.46,0.56,0,0,0.66,0
"39","Erick Montano",170,"welterweight",73,2.79,2.06,0.44,0.64,2.29,0.36,0.66,0
"40","Nicco Montano",135,"bantamweight",65,5.6,4.43,0.41,0.64,2.25,0.54,0.69,0.4
"41","Alberto Montes",135,"bantamweight",NA,0,0,0,0,0,0,0,0
"42","Steve Montgomery",185,"middleweight",75,4.85,4.12,0.39,0.47,0,0,0.64,0
"43","James Moontasri",170,"welterweight",71,2.39,3.86,0.48,0.4,0,0,0.79,0.2
"44","Homer Moore",205,"lightheavyweight",NA,0.68,0.68,0.5,0,5.07,0.66,0,0
"45","Todd Moore",170,"welterweight",71,1.83,2.3,0.26,0.57,0.78,0.14,0.54,0
"46","Nate Moore",170,"welterweight",NA,2.21,2.87,0.25,0.42,1.23,0.16,0.25,0
"47","Dustin Moore",125,"flyweight",NA,0,0,0,0,0,0,0,0
"48","Sergio Moraes",170,"welterweight",72,2.38,3.43,0.42,0.62,1.22,0.4,0.75,0.5
"49","Marlon Moraes",135,"bantamweight",67,3.41,3.63,0.38,0.58,0.3,0.16,0.66,0.6
"50","Sheymon Moraes",145,"featherweight",72,3,3.64,0.42,0.63,0,0,0.53,0
"51","John Moraga",125,"flyweight",66,2.57,2.55,0.43,0.56,0.62,0.23,0.44,1.1
"52","Ricardo Morais",270,"heavyweight",NA,2.86,2.39,0.37,0.53,0,0,0,0
"53","Leonardo Morales",135,"bantamweight",68,2.05,2.05,0.47,0.58,0,0,0.62,0
"54","Albert Morales",135,"bantamweight",72,3.81,3.96,0.35,0.56,0.91,0.35,0.7,0.2
"55","Joseph Morales",125,"flyweight",69,1.58,1.72,0.37,0.6,0.53,0.5,0.23,2.6
"56","Vince Morales",135,"bantamweight",70,4.84,3.76,0.39,0.56,0,0,0.55,0
"57","Omar Morales",155,"lightweight",NA,7.21,3.77,0.66,0.5,0,0,1,0
"58","Sarah Moras",135,"bantamweight",67,2.04,3.17,0.41,0.44,0.91,0.23,0.37,1.1
"59","Christian Morecraft",260,"heavyweight",81,2.82,2.46,0.34,0.46,3.26,0.66,0.5,2.2
"60","Joe Moreira",195,"catchweight",NA,0,0,0,0,0,0,0,0
"61","Richardson Moreira",185,"middleweight",72,1.17,1.83,0.28,0.67,0,0,1,0
"62","Gisele Moreira",135,"bantamweight",NA,5.93,6.33,0.42,0.48,4,0.57,0,0
"63","Vinicius Moreira",205,"lightheavyweight",76,2.79,5.34,0.6,0.37,2.61,0.18,0,1.7
"64","Jesse Moreng",145,"featherweight",NA,1.26,2.08,0.4,0.48,5.56,1,1,0
"65","Brandon Moreno",125,"flyweight",70,2.58,2.83,0.34,0.63,2.39,0.43,0.62,0.7
"66","Mike Moreno",185,"middleweight",NA,0,0,0,0,0,0,0,0
"67","Dan Moret",155,"lightweight",73,2.67,3.56,0.43,0.43,1.25,0.27,0.45,0.4
"68","Sammy Morgan",170,"welterweight",NA,1.05,3.74,0.22,0.4,1.43,0.2,0,0.5
"69","Peggy Morgan",135,"bantamweight",70,2.27,8.2,0.23,0.33,0,0,0.5,0
"70","Alex Morono",170,"welterweight",72,4.42,3.02,0.39,0.61,0,0,0.31,0.6
"71","Maryna Moroz",125,"flyweight",67,3.25,3.87,0.25,0.55,0.33,0.14,0.47,0.5
"72","Brad Morris",205,"lightheavyweight",NA,0.5,6.95,0.62,0.27,0,0,0,0
"73","Scott Morris",210,"heavyweight",NA,0,0,0,0,0,0,0,0
"74","Anthony Morrison",145,"featherweight",NA,1.7,0.49,0.33,0.8,0,0,0.5,0
"75","Jack Morrison",205,"lightheavyweight",NA,0,19.31,0,0.4,0,0,0,0
"76","Harry Moskowitz",275,"heavyweight",NA,0,0,0,0,0,0,0,0
"77","Juan Mott",190,"catchweight",NA,0,0,0,0,0,0,0,0
"78","Flavio Luiz Moura",183,"catchweight",NA,0.67,0,0.16,0,0,0,0,0
"79","Gegard Mousasi",185,"middleweight",76,3.75,1.21,0.5,0.68,1.59,0.6,0.59,1.1
"80","Kin Moy",135,"bantamweight",NA,2.3,1.93,0.33,0.62,1.67,0.42,0.5,1.7
"81","Jamie Moyle",115,"strawweight",65,4.51,4,0.51,0.65,1,0.21,0.5,0
"82","Su Mudaerji",135,"bantamweight",72,5.02,2.49,0.59,0.58,0.68,1,0.75,1.4
