Egidijus Valavicius
Charlie Valencia
Mike Van Arsdale
Matt Van Buren
Ron van Clief
Carey Vanier
Paul Varelans
Jamie Varner
Vyacheslav Vasilevsky
Linton Vassell
Javier Vazquez
Matt Veach
Joe Vedepo
Attila Vegh
Cain Velasquez
Bojan Veličković
Karlos Vemola
Jerrel Venetiaan
Brandon Vera
Marlon Vera
Renato Verissimo
Marvin Vettori
Vitor Vianna
Milton Vieira
Steve Vigneault
Alexis Vila
Gian Villante
Joey Villaseñor
Danillo Villefort
Yuri Villefort
Doug Viney
Marcos Vinicius
Brandon Visher
Falaniko Vitale
Bobby Voelker
Alexander Volkanovski
Jacob Volkmann
Alexander Volkov
Dick Vrij
Chris Wade
Abe Wagner
TJ Waldburger
Donny Walker
Herschel Walker
Crafton Wallace
Rodney Wallace
Jim Wallhead
Cory Walmsley
Richard Walsh
Erik Wanderley
Curt Warburton
Brennan Ward
Yasushi Warita
Brian Warren
Yuichi Watanabe
Ron Waterman
Tom Watson
Walel Watson
Royston Wee
Brent Weedman
Daniel Weichel
Allan Weickert
Chris Weidman
Mark Weir
Christian Wellisch
Fabrício Werdum
Cassio Werneck
Ed West
Coty Wheeler
Alex White
Jay White
Vernon White
Mike Whitehead
Robert Whittaker
Justin Wilcox
Rob Wilkinson
Mike Wilkinson
Jeremy Williams
Joe Williams
Patrick Williams
Pete Williams
Rubin Williams
Steve Williams
Tedd Williams
Justin Willis
Chris Wilson
Jonathan Wilson
Matt Wiman
Eddie Wineland
Andre Winner
Shannon Wiratchai
Eric Wisely
Keith Wisniewski
Travis Wiuff
Brandon Wolff
Tyron Woodley
Eddie Yagin
Rani Yahya
Alexander Yakovlev
Mikihito Yamagami
Mamoru Yamaguchi
Keiichiro Yamamiya
Norifumi Yamamoto
Yoshihisa Yamamoto
Goiti Yamauchi
Dongi Yang
Zhikui Yao
Emmanuel Yarborough
Cale Yarbrough
Tadao Yasuda
Yoshiaki Yatsu
Melvin Yeoh
Hirotaka Yokoi
Kazunori Yokota
Tetsuo Yokoyama
Dong Sik Yoon
Jim York
Hidehiko Yoshida
Yoshiyuki Yoshida
Jason Young
Savant Young
Luke Zachrich
Marius Žaromskis
Shamil Zavurov
Mikhail Zayats
João Zeferino
Roman Zentsov
Tiequan Zhang
Catalin Zmarandescu
Nikolai Zouev
Virgil Zwicker
